scenario,unmet_no,unmet_greedy,unmet_lp,srv_no,srv_greedy,srv_lp
39,264.000000,16.000000,16.000000,0.779449,0.986633,0.986633
40,275.000000,32.333333,32.333333,0.768324,0.972760,0.972760
41,236.000000,14.222222,14.222222,0.796902,0.987761,0.987761
42,258.000000,14.333333,14.333333,0.781726,0.987874,0.987874
43,250.000000,23.888889,23.888889,0.786871,0.979634,0.979634
44,280.000000,35.666667,35.666667,0.773463,0.971143,0.971143
45,266.000000,11.666667,11.666667,0.777778,0.990253,0.990253
46,236.000000,0.000000,0.000000,0.790594,1.000000,1.000000
47,267.000000,22.444444,22.444444,0.781506,0.981633,0.981633
48,255.000000,14.555556,14.555556,0.775923,0.987210,0.987210
49,254.000000,14.222222,14.222222,0.783461,0.987875,0.987875
50,225.000000,2.111111,2.111111,0.801061,0.998133,0.998133
51,252.000000,24.888889,24.888889,0.794788,0.979732,0.979732
52,245.000000,18.111111,18.111111,0.790240,0.984494,0.984494
